zip_path,is_dir,size_bytes,compressed_bytes,ext,top,lvl2
__MACOSX/tools/__pycache__/._run_release_candidate_gate.cpython-313.pyc,False,163,86,.pyc,__MACOSX,__MACOSX/tools
__MACOSX/tools/__pycache__/._run_replay_pair_gate.cpython-313.pyc,False,163,86,.pyc,__MACOSX,__MACOSX/tools
__MACOSX/tools/__pycache__/._run_spec_lock_gate.cpython-313.pyc,False,163,86,.pyc,__MACOSX,__MACOSX/tools
a2_derived_indices_noncanonical,True,0,0,,a2_derived_indices_noncanonical,a2_derived_indices_noncanonical
a2_derived_indices_noncanonical/README.md,False,429,270,.md,a2_derived_indices_noncanonical,a2_derived_indices_noncanonical/README.md
a2_derived_indices_noncanonical/brain_manifest.yaml,False,1905,594,.yaml,a2_derived_indices_noncanonical,a2_derived_indices_noncanonical/brain_manifest.yaml
a2_derived_indices_noncanonical/contradictions.yaml,False,65,64,.yaml,a2_derived_indices_noncanonical,a2_derived_indices_noncanonical/contradictions.yaml
a2_derived_indices_noncanonical/decisions.yaml,False,65,64,.yaml,a2_derived_indices_noncanonical,a2_derived_indices_noncanonical/decisions.yaml
a2_derived_indices_noncanonical/memory_log.000.jsonl,False,222,181,.jsonl,a2_derived_indices_noncanonical,a2_derived_indices_noncanonical/memory_log.000.jsonl
a2_derived_indices_noncanonical/pending_actions.yaml,False,65,64,.yaml,a2_derived_indices_noncanonical,a2_derived_indices_noncanonical/pending_actions.yaml
a2_derived_indices_noncanonical/thread_seals.000.jsonl,False,344,201,.jsonl,a2_derived_indices_noncanonical,a2_derived_indices_noncanonical/thread_seals.000.jsonl
a2_state,True,0,0,,a2_state,a2_state
a2_state/INTENT_SUMMARY.md,False,16272,6790,.md,a2_state,a2_state/INTENT_SUMMARY.md
a2_state/MODEL_CONTEXT.md,False,22880,8303,.md,a2_state,a2_state/MODEL_CONTEXT.md
a2_state/constraint_surface.json,False,980,279,.json,a2_state,a2_state/constraint_surface.json
a2_state/doc_index.json,False,20968,8806,.json,a2_state,a2_state/doc_index.json
a2_state/fuel_queue.json,False,220860,29549,.json,a2_state,a2_state/fuel_queue.json
a2_state/memory.jsonl,False,46426,15808,.jsonl,a2_state,a2_state/memory.jsonl
a2_state/rosetta.json,False,6616,762,.json,a2_state,a2_state/rosetta.json
conformance,True,0,0,,conformance,conformance
conformance/.DS_Store,False,6148,275,,conformance,conformance/.DS_Store
conformance/fixtures_v1,True,0,0,,conformance,conformance/fixtures_v1
conformance/fixtures_v1/.DS_Store,False,6148,272,,conformance,conformance/fixtures_v1
conformance/fixtures_v1/README.md,False,354,226,.md,conformance,conformance/fixtures_v1
conformance/fixtures_v1/expected_outcomes.json,False,4372,807,.json,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures,True,0,0,,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_DEP_001_FORWARD_REFERENCE_PARK.txt,False,412,215,.txt,conformance,conformance/fixtures_v1
